tx_id,payload_size,prompt_length,response_length,sample_index,batch_size,full_bytes,compact_bytes,saved_bytes,byte_reduction_ratio,full_onchain_calldata_total_gas,full_onchain_calldata_amortized_gas,full_onchain_calldata_reduction_ratio,compact_external_da_total_gas,compact_external_da_amortized_gas,compact_external_da_reduction_ratio,compact_eip4844_like_total_gas,compact_eip4844_like_amortized_gas,compact_eip4844_like_reduction_ratio,compact_modular_da_sampling_total_gas,compact_modular_da_sampling_amortized_gas,compact_modular_da_sampling_reduction_ratio
cost-p128-q64-s6,128,64,128,6,100,1505,406,1099,0.7302325581395349,24080.0,240.8,0.0,9807.0,98.07,0.5927325581395348,7850.5,78.505,0.6739825581395349,7173.25,71.7325,0.7021075581395348
cost-p128-q64-s6,128,64,128,6,1000,1505,406,1099,0.7302325581395349,24080.0,24.08,0.0,9807.0,9.807,0.5927325581395348,7850.5,7.8505,0.6739825581395349,7173.25,7.17325,0.7021075581395348
cost-p128-q64-s7,128,64,128,7,1,1681,406,1275,0.7584770969660916,26896.0,26896.0,0.0,10194.2,10194.2,0.6209770969660916,8008.9,8008.9,0.7022270969660915,7252.45,7252.45,0.7303520969660916
cost-p128-q64-s7,128,64,128,7,10,1681,406,1275,0.7584770969660916,26896.0,2689.6,0.0,10194.2,1019.4200000000001,0.6209770969660916,8008.9,800.89,0.7022270969660915,7252.45,725.245,0.7303520969660916
cost-p128-q64-s7,128,64,128,7,100,1681,406,1275,0.7584770969660916,26896.0,268.96,0.0,10194.2,101.94200000000001,0.6209770969660916,8008.9,80.089,0.7022270969660915,7252.45,72.5245,0.7303520969660916
cost-p128-q64-s7,128,64,128,7,1000,1681,406,1275,0.7584770969660916,26896.0,26.896,0.0,10194.2,10.1942,0.6209770969660916,8008.9,8.008899999999999,0.7022270969660915,7252.45,7.25245,0.7303520969660916
cost-p128-q64-s8,128,64,128,8,1,1857,406,1451,0.7813677975228863,29712.0,29712.0,0.0,10581.400000000001,10581.400000000001,0.6438677975228864,8167.3,8167.3,0.7251177975228864,7331.65,7331.65,0.7532427975228864
cost-p128-q64-s8,128,64,128,8,10,1857,406,1451,0.7813677975228863,29712.0,2971.2,0.0,10581.400000000001,1058.14,0.6438677975228864,8167.3,816.73,0.7251177975228864,7331.65,733.165,0.7532427975228864
cost-p128-q64-s8,128,64,128,8,100,1857,406,1451,0.7813677975228863,29712.0,297.12,0.0,10581.400000000001,105.81400000000002,0.6438677975228864,8167.3,81.673,0.7251177975228864,7331.65,73.31649999999999,0.7532427975228864
cost-p128-q64-s8,128,64,128,8,1000,1857,406,1451,0.7813677975228863,29712.0,29.712,0.0,10581.400000000001,10.581400000000002,0.6438677975228864,8167.3,8.167300000000001,0.7251177975228864,7331.65,7.33165,0.7532427975228864
